State,Zip Code,Phone,Fax,,,,
NY,10458,718828-6800,718828-6586,,,,
PA,15905,814534-9186,814534-3455,,,,
PA,15904,814534-9166,814534-3242,,,,
PA,15931,814534-4444,814472-8854,,,,
Meyersdale,PA,15552,814634-59116970,814634-0194,,,
Hastings,PA,16646,814247-3300,814247-3323,,,
PA,15501,800999-9675,814417-6420,,,,
NC,28721,828452-8999,828452-8349,,,,
MI,49855,906449-1440,906449-1813,,,,
NC,28713,828586-71207120,828586-7125,,,,
ND,58078,605366-0513,701566-8286,,,,
ND,58078,605366-0513,701566-8286,,,,
SD,57107,605366-0513,701566-8286,,,,
MI,49509,616252-4461,616252-6990,,,,
West Fargo,ND,58078,605366-0513,701566-8286,,,
Carolina,PR,982,787769-4905,787752-6011,,,
PR,674,787621-33223300,787884-7604,,,,
CA,95336,209239-8370,209824-4950,,,,
PR,959,787622-54225622,787625-2477,,,,
PR,985,787621-33221209,787884-7604,,,,
Houston,TX,77090,281453-7822,832666-7982,,,
TX,78504,956362-8600,956362-8609,,,,
TX,78596,956362-3660,956362-3642,,,,
TX,78501,956362-7503,956362-3760,,,,
TX,78041,956693-5040,956693-5047,,,,
Gainesville,FL,32605,352331-97296804,352331-8692,,,
FL,32425,850547-8166,850547-8175,,,,
FL,32347,850584-0877,850584-0642,,,,
KS,67801,620255-6326,620227-1234,,,,
GA,31023,478448-4047,478374-9797,,,,
SC,29927,843987-7508,843987-7515,,,,
Donalsonville,GA,39845,229524-5217225,229524-2979,,,
WI,54235,920746-3540,920746-3797,,,,
PR,646,787965-2040103,787998-6411,,,,
PR,646,787796-5425,787796-5316,,,,
FL,33166,305471-4581,305471-4593,,,,
Atlanta,GA,30309,404605-4427,404609-6725,,,
GA,31750,229424-1409,229424-7283,,,,
VA,23606,757594-1899,757594-1901,,,,
FL,33334,954202-0277,954229-8696,,,,
NC,28461,910457-3881,910457-3883,,,,
MA,2122,617288-32302533,617825-6279,,,,
PA,17315,717851-1901,717851-6499,,,,
ME,4654,207255-0474,207255-0238,,,,
Downey,CA,90240,562862-2778,562862-7649,,,
NC,27101,336716-7243,336713-4972,,,,
LA,70570-1208,337407-4432,337943-7104,,,,
PR,969,787272-5656,787720-3232,,,,
NM,88401,575461-7011,575461-7277,,,,
IL,60623,312864-0413,312864-9512,,,,
PR,792,787852-0920,787852-6685,,,,
Syracuse,NY,13210,315470-5880,315470-1378,,,
Fishkill,NY,12524,845790-8855,845454-5128,,,
AR,71655,870460-5373,870460-3502,,,,
Aurora,IL,60506,630859-6777,630264-8522,,,
St. Charles,IL,60174-0657,630859-6777,630264-8522,,,
OK,73533,580251-6670,580251-6671,,,,
,,Baton Rouge,LA,70817,225214-4717,225928-5535,
OH,43016,614566-1111,614544-8811,,,,
NC,27607,919862-5209,919862-5213,,,,
Durham,NC,27710,919684-7999,919684-7144,,,
NC,27713,919684-7999,919684-7144,,,,
NC,27560,919385-8707,919385-8725,,,,
Chapel Hill,NC,27514,919684-7999,919385-1565,,,
NC,27587,919385-1570,919385-1565,,,,
NC,27540-5300,919385-3035,919385-1565,,,,
NC,27707,919684-7999,919684-7144,,,,
NC,27609,919862-52093,919862-5213,,,,
NC,27609,919862-5277,919862-5213,,,,
NC,27704,919470-5262,919470-5298,,,,
IN,46970,765472-80012363,765472-9062,,,,
VA,22025,703441-7543,703441-7697,,,,
NE,69021,308423-7009,308423-5749,,,,
Lisle,IL,60532,630545-7880,630241-1385,,,
IL,60148,630545-7880,630873-8801,,,,
IL,60108,630545-7880,630539-6067,,,,
IL,60406,708388-55001237,708293-3086,,,,
Hinsdale,IL,60521,630545-7880,630348-3018,,,
IL,60435,630545-7880,815730-6391,,,,
IL,60540,630961-4177,630946-2520,,,,
Oak Lawn,IL,60453,630545-7880,630946-2520,,,
Naperville,IL,60564,630545-7880,630545-7841,,,
IL,60487,708226-70002237,708226-7159,,,,
IL,60559,630545-7880,630946-2520,,,,
IL,60137,630545-7880,630545-7841,,,,
Fort Wayne,IN,46825,833546-4968,260416-3310,,,
Durham,NC,27704,919471-48403309,919471-9345,,,
,Durham,NC,27713,877507-9729,919544-2621,,
NC,27704,877318-1349,704966-2407,,,,
Pahrump,NV,89048,775751-7567,775751-7555,,,
CA,93720,559878-4510,559878-4515,,,,
CA,92804,714995-5471,714995-5815,,,,
CA,90602,562464-0039,562464-0049,,,,
GA,30281,404907-6118,678432-3677,,,,
GA,30281,770474-1919115,770389-8090,,,,
AL,36854,334710-0348,334710-0359,,,,
OH,45891,419238-6251113,419232-2076,,,,
MI,48109,734936-6274,734615-8327,,,,
MA,2128,617568-4667,617568-4058,,,,
Edenton,NC,27932,252482-6245,252482-6398,,,
SC,29464,843416-6067,843416-6857,,,,
LA,70006,504503-6289,504503-5304,,,,
MI,49727,231536-2206134,231536-7150,,,,
Flowood,MS,39232,601936-1400,601936-3435,,,
OH,43920,330386-2026,330386-2098,,,,
CO,80723-1640,970842-6288,970842-6294,,,,
NY,11207,718240-0529,718245-3155,,,,
Martins Ferry,OH,43935,740633-4216,740633-4565,,,
NY,10022,212832-8320,212832-8322,,,,
PA,17402,717851-1901,717851-1860,,,,
NC,27504,919894-5787183,919207-0039,,,,
NC,28562,252633-3942,252637-3656,,,,
ID,83404,208497-6522,208535-4547,,,,
NY,14094,716514-5823,716514-5823,,,,
Birmingham,AL,35235,205838-3036,205838-5832,,,
OK,74953,918635-3590,918635-3231,,,,
CA,96122,530832-6516,530832-5829,,,,
Washington,NC,27889,252946-2137,252975-6117,,,
,Kinston,NC,28501,252527-70778223,252527-0565,,
Greenville,NC,27834,252752-5000,252931-7634,,,
CO,81641,970878-9269,970878-3754,,,,
TX,76448,254629-2601,254629-2825,,,,
CA,94605,510437-4211,510535-7318,,,,
MI,48044,586415-6200,586782-6379,,,,
MI,48038,586286-6060,313263-6330,,,,
Roseville,MI,48066,586415-6200,586415-6217,,,
GA,30052,678628-12301232,678639-1601,,,,
GA,30078,770736-2551,770736-2336,,,,
MI,48827,517633-9426,517663-9428,,,,
Charlottesville,VA,22903,434924-2935,434924-5672,,,
FL,32063,904259-31513326,904653-1808,,,,
IL,60646,773774-6440,773774-4372,,,,
Edgerton,WI,53534,608884-13801381,608884-1612,,,
MN,55436,952925-2200,952925-0335,,,,
Sioux Falls,SD,57104,605312-3455,605312-3453,,,
Mandan,ND,58554,701667-5179,701667-5082,,,
ND,58501,701323-5210,701323-5479,,,,
SD,57201-0290,605886-1587,605882-8629,,,,
Sioux Falls,SD,57108,605312-3455,605312-3453,,,
IL,60301,331221-0005,331331-3701,,,,
IL,60540,630527-3200,630548-1884,,,,
IL,60586,630527-3200,630548-1884,,,,
IL,60564,630527-3200,630527-3099,,,,
IL,60560,630527-3200,630548-1884,,,,
IL,60585,630527-3142,630548-1884,,,,
Naperville,IL,60540,630527-3200,630548-1884,,,
IL,60440,630527-3200,630548-1884,,,,
IL,60517,630527-3142,630548-1884,,,,
CA,90022,323362-1112,323362-1367,,,,
IL,60521,331221-0005,331221-3701,,,,
WV,25701,304399-6556,304399-6554,,,,
IL,62025,618659-9520,618307-3411,,,,
GA,31326,912826-1427,912826-1490,,,,
GA,31329-0386,912754-0419,912754-0303,,,,
Eglin AFB,FL,32542,850883-8335,850883-8290,,,
NE,68113,402294-7405,402294-8644,,,,
PA,19115,215827-1393,267857-1100,,,,
Fort Gordon,GA,30905,706787-2171,706787-0553,,,
CA,92253,760773-4338,760773-8840,,,,
CA,92270,760773-4338,760837-8840,,,,
CA,95032,650940-7050,408866-4082,,,,
CA,94040,650962-4954,650988-7542,,,,
TX,77437,979543-6251,979578-5245,,,,
CA,92243,760339-7241,760339-7249,,,,
CA,91731,626434-2830,626527-6947,,,,
TX,79821,915886-4488,915886-4688,,,,
TX,79912,915521-2255,915521-7108,,,,
TX,79902,915521-1183,915599-4069,,,,
Merced,CA,95340,209384-4250,209722-1975,,,
AZ,85745,520670-3747,520670-3799,,,,
AZ,85713,520670-3750,520670-3799,,,,
AZ,85730,520670-3750,520309-3279,,,,
PR,926,787764-9493,787759-3621,,,,
GA,30635,706213-2569,706213-2577,,,,
ND,58763,701627-7680,701627-3050,,,,
KS,66210,913469-8998,913469-1698,,,,
MO,64157,816934-4762,816415-3449,,,,
MO,64064,913469-8998,913469-1698,,,,
Columbus,GA,31904,706257-7700,706257-7701,,,
WY,82718-7084,307682-1779,307682-1746,,,,
,Newport Beach,CA,92663,949645-2321,949645-2039,,
NY,14450,585442-2190,585758-7085,,,,
NY,14454,585442-2190,585758-7085,,,,
NY,14606,585442-2190,585758-7085,,,,
Victor,NY,14564,585442-2190,585758-7085,,,
Batavia,NY,14020,585442-2190,585758-7085,,,
,Carthage,NY,13619,585442-2190,585758-7085,,
Rochester,NY,14620-3992,585442-2190,585758-7085,,,
IN,46514,574296-3937,574296-3481,,,,
IN,46514-2499,574523-3444,574523-3435,,,,
KY,41522,606754-8445,606745-8316,,,,
OK,73651,580726-1905,580726-1985,,,,
NY,12428,845647-6400261,845647-1394,,,,
NH,3101,603663-5508,603663-8494,,,,
NH,3053,603663-5508,603552-1489,,,,
LA,70806,225755-3070,225755-3085,,,,
MO,65212,573884-5198,573884-4113,,,,
NY,12308,518243-40004609,518346-9545,,,,
NY,12309-4797,518243-3333,518346-9545,,,,
IA,50126,641648-7024,641648-7023,,,,
JBER,AK,99506-3700,907580-2523,907580-6747,,,
NY,11373,718334-3318,718334-5089,,,,
IL,60101,331221-3511,331221-3701,,,,
IL,60126,331221-0005,331221-3701,,,,
IL,60148,331221-0005,331221-3701,,,,
AL,36092,334514-3835,334514-3822,,,,
MN,55731,218365-8737,218365-8744,,,,
CA,91741,626857-3118,626857-3110,,,,
CA,91723,626915-6266,626339-0903,,,,
CA,91740,626963-4124239,626963-6773,,,,
GA,30401,478289-1285,478289-1289,,,,
OR,97227,503413-4037,503413-4198,,,,
FL,32405,850769-0338,850785-6088,,,,
Westford,MA,1886,978287-8107,978287-8104,,,
Apopka,FL,32703,407628-9100,407628-0748,,,
GA,30240,404544-1181,706812-4097,,,,
Decatur,GA,30033,404501-2660,404501-7279,,,
GA,30058,404501-2660,404501-8138,,,,
GA,30097,678474-5602,678474-7908,,,,
GA,30308,404778-7465,404778-4947,,,,
,Atlanta,GA,30322,404778-3416,404778-1901,,
Glendale,NY,11385,718850-4368234,718849-6523,,,
WI,54911,920358-1554,920358-1556,,,,
MO,64030,816348-2260268,913495-3734,,,,
MO,64114,816941-1400,816941-1129,,,,
MO,64055,816356-5000,913495-3745,,,,
KS,66214,913495-2000,913495-2022,,,,
MO,64063,816524-3799,913495-3727,,,,
MO,64118,816414-4486,913495-3714,,,,
PA,18801,570278-38011701,570278-4973,,,,
NJ,7306,551220-5020,201569-6171,,,,
NJ,7410,551299-2900,201608-2413,,,,
CA,95926,530332-3872,530893-6028,,,,
Novi,MI,48377,248471-06752020,248254-3874,,,
TX,76104,817321-0300,817321-0399,,,,
TX,76092,817424-5872,817424-3022,,,,
TX,75251,214276-0050,214276-0057,,,,
TX,75034,972334-0908,972335-0375,,,,
TX,76012,817265-1099,817317-7062,,,,
TX,76018,817375-3170,817375-3185,,,,
TX,75182,972798-4009,972798-4094,,,,
TX,75098,469649-0004,469649-0006,,,,
TX,76063,817453-7444,817453-7441,,,,
East Orange,NJ,7018,973266-4415,973266-8482,,,
KY,40422,859936-8204,859239-6756,,,,
KY,40330,859733-4810,859734-8334,,,,
PA,17522,717721-5870,717721-5770,,,,
OR,97015-5709,503253-1105,503372-1861,,,,
Portland,OR,97220,503253-7080,503372-1861,,,
,Beaverton,OR,97006,503253-11058080,503535-7080,,
Beaverton,OR,97008,503253-11058080,503535-8398,,,
MI,48075,248621-9443,248416-1355,,,,
TN,37367,423447-5311,423447-5284,,,,
Chattanooga,TN,37421,423680-8690,423680-8686,,,
TN,37403,423778-6494,423778-2902,,,,
NC,28906,828835-7540,828835-7546,,,,
TN,37415,423778-3399,423778-3372,,,,
PR,00987-4703,787710-7385,787762-3623,,,,
IN,46254,317880-7280,317880-0466,,,,
NM,87532,505367-02320232,505753-1527,,,,
ND,58075,701642-2000,701671-4066,,,,
ND,58103,701364-8200,701364-8241,,,,
Ashland,WI,54806,715685-7500,715685-7077,,,
MN,55805,218786-1019,218786-8375,,,,
MN,55811,218786-1743,218786-8375,,,,
MN,56240,320748-8219,320748-8233,,,,
MN,56649,877201-3461,218285-6245,,,,
ND,58501-4507,701712-4501,701712-4084,,,,
ND,58501,701712-4501,701712-4084,,,,
MN,56470,218732-2800,218314-7770,,,,
MN,55072,320245-6760,320245-5650,,,,
MN,56425,218454-58035803,218828-7629,,,,
MN,56401,218454-58035803,218828-7629,,,,
MN,56501,218847-0833,218314-7770,,,,
WI,54880,218786-4427,715395-5324,,,,
Virginia,MN,55792,218749-9463,218749-9587,,,
MN,55807,218786-1019,218786-8375,,,,
MN,56636,218246-3023,218246-3094,,,,
MN,55744,218999-7000,218999-7099,,,,
MN,55767,218485-5578,218485-5678,,,,
CO,80517,970577-4545,970577-4338,,,,
GA,30417,912739-5010,912739-5011,,,,
CO,80913-4604,719526-7301,719526-7978,,,,
WY,82930,307783-8196,307783-8274,,,,
Kirkland,WA,98034,425899-2831,425899-1846,,,
,Kenmore,WA,98028,425899-3800,425899-1846,,
WA,98272,360863-4654,360863-4673,,,,
AL,36401,251578-0146146,251578-0262,,,,
CA,92843,714583-8126,714583-8148,,,,
FL,34652,727841-8212,727841-9589,,,,
PA,15666,724689-0100,724850-8069,,,,
PA,15601-2282,724689-0100,724850-7971,,,,
PA,15650,724689-0100,724804-1740,,,,
PA,15642,724861-6306,724861-6316,,,,
Brooklyn,NY,11220,718522-1118,212335-0320,,,
New York,NY,10013,212335-0328,212335-0320,,,
MO,64024,816629-2700,816629-3630,,,,
New York,NY,10020-1903,212332-5142,646665-4096,,,
,Marion,OH,43302,740751-6828,740751-6829,,
New York,NY,10007,212935-8725108,212349-2500,,,
NH,3833,603580-6867,603580-7024,,,,
NH,3865,603580-6035,603580-7024,,,,
GA,31405,770288-0324,833736-2299,,,,
FL,32177,386280-0080,386280-0081,,,,
WI,53051,262257-5024,262257-1724,,,,
CA,91345,818869-7102,818869-7219,,,,
CA,91355,818869-7034,818869-7219,,,,
CA,91325,818869-7034,818869-7219,,,,
Santa Clarita,CA,91387,818869-7201,818869-7219,,,
NJ,7410,201794-3132,201794-6291,,,,
VA,22033,703385-5203,703385-3058,,,,
AK,99701,907458-6900,907458-6929,,,,
CA,96097,530841-6265,530841-6262,,,,
VA,22033,571432-2717,571432-2794,,,,
TX,75840,903389-1625,903389-1635,,,,
OH,43130,740687-8666,740687-8338,,,,
IL,62837,618847-8249,618847-8375,,,,
WV,26554-1589,304293-1223,304293-6703,,,,
OH,44111,216476-9012,216476-6947,,,,
Fridley,MN,55432,763586-5884,763502-4884,,,
MN,55443,763586-5816,763586-5888,,,,
MA,01230-1796,413528-86009616,413854-9794,,,,
Westlake,OH,44145,216476-7200,216476-6947,,,
MN,55124,608669-0663,608839-8950,,,,
NE,68701,402644-7121,402644-7612,,,,
NE,68701,402844-8074,402644-8075,,,,
PR,738,787860-3400,787863-2075,,,,
MT,59313-0820,406778-5347,406778-5354,,,,
MA,02540-2599,508457-355173551,508457-3861,,,,
Garden Grove,CA,92780,714644-9494,714644-9498,,,
CO,81521,970858-2503,970858-2200,,,,
KS,67037,316789-1134,316789-1195,,,,
NE,68901,402463-2423,402463-9697,,,,
AR,71602,870850-8055111,870850-8056,,,,
TX,75418,903583-8585,903640-7620,,,,
GA,30513,706632-37114248,706632-4209,,,,
Portland,OR,97219,503452-0915,503768-9232,,,
MN,55021,507497-3518,507497-3517,,,,
Southfield,MI,48034,248352-9525,248357-2959,,,
UT,84025,801581-5496,801587-9282,,,,
VA,20186,540316-5800,540316-4501,,,,
FL,33952,866463-7103,866402-7296,,,,
IL,62471,618283-5466,618283-4849,,,,
AL,35555,205932-1246,205932-1108,,,,
CA,94568,925833-7500445,925833-7595,,,,
AL,35442,205373-50005100,205373-5027,,,,
MA,2215,857313-6563,617865-0773,,,,
NY,12401,845334-3088,845334-8928,,,,
IL,62930,618273-3361412,618273-3602,,,,
IL,61032,815599-6199,815599-6141,,,,
Tamuning,GU,96911,671646-58248124,671647-3527,,,
MS,39631,601890-0613,601882-9241,,,,
UT,84631,435743-1531,435743-6312,,,,
Geneva,NE,68361,402759-3252184,402759-4656,,,
NY,14432-1189,585922-3237,585922-3625,,,,
IA,52001,563589-24022617,563589-2491,,,,
Sandusky,OH,44870,419557-5239,419557-5233,,,
Fosston,MN,56542,218435-7648,218435-6573,,,
NC,27371,910571-5240,910571-5472,,,,
NC,28379,910417-3766,910417-3380,,,,
GA,30033,770934-6832,770934-6337,,,,
NC,27330,919897-2265,919897-2266,,,,
NC,28376,910715-2778,910878-6635,,,,
NC,28374,910715-2778,910715-2266,,,,
OH,44857,419668-81016205,419660-2892,,,,
FL,33050,305434-1601,786260-0533,,,,
MO,65340,660831-3208,660886-3420,,,,
Miami,FL,33199,305348-2940,305348-1494,,,
KY,40004,502350-50005109,502350-5111,,,,
FL,32086,904819-4707,904819-4901,,,,
FL,32081,904819-4707,904819-4948,,,,
Saint Augustine,FL,32092,904819-4707,904819-4948,,,
KY,41041,606849-5150,606849-5135,,,,
Palm Bay,FL,32905,321676-5323,321951-9253,,,
FL,33544,813751-3371,813377-1671,,,,
FL,33542,813782-8829,813355-5099,,,,
Flower Mound,TX,75028,469322-7744,469322-7858,,,
Dothan,AL,36305,334671-4908,334615-8482,,,
IA,50616,641257-4325,641228-8012,,,,
IA,51031,712546-3382,712546-3483,,,,
NY,11355,718670-5453,718670-3039,,,,
VA,22974,434422-3496,434984-7610,,,,
AL,36542,251949-37843787,251968-5905,,,,
MA,2645,508957-1623,508430-3216,,,,
PA,15146,412858-2656,412858-2955,,,,
Rockford,IL,61114,815654-2486,815654-2680,,,
WI,54520,715478-4339,715478-4769,,,,
NY,11375,718830-4747,718830-4349,,,,
,Mason City,IA,50401,641428-7782,641428-5156,,
WA,98331,360374-6271166,360374-6084,,,,
AR,72335,870261-0228,870261-0018,,,,
IL,62535,217876-1111,217876-5345,,,,
CO,80526,970495-6255,970495-6254,,,,
Eagle Pass,TX,78852,800465-5585,830872-2868,,,
WI,53538,920568-5420,920568-6026,,,,
IL,61761,309452-9001,309452-9299,,,,
KY,40484,606365-4600,606365-4751,,,,
TN,37772,865271-6070,865271-6208,,,,
VA,23510-1064,757252-9100,757252-9133,,,,
Knoxville,TN,37916,865524-3208,877441-7836,,,
NY,11777,631686-2594,631476-2783,,,,
West Palm Beach,FL,33406,561660-5468,561283-0677,,,
NE,68701,402379-2349,402379-2437,,,,
PA,19111,215728-2646,215728-3134,,,,
Oneonta,NY,13820,607431-5015,607431-5102,,,
WV,24910,304445-33005501,304445-3312,,,,
MT,59230,406228-3630,406228-3531,,,,
IN,46307-8483,219757-6010,219681-6770,,,,
IN,46350,219575-6639,219575-6699,,,,
WA,98003,253944-4143,253944-4074,,,,
WA,98148,206431-5243,206965-4289,,,,
IN,46311,219922-4070,219864-2609,,,,
IN,47933,765364-8597,765361-3010,,,,
IN,46237,317528-5129,317528-2229,,,,
IN,47905,765423-6170,765428-5887,,,,
Lafayette,IN,47905,765423-6170,765446-5475,,,
IN,46360,219877-1987,219877-1069,,,,
IN,46158,317528-5129,317528-2229,,,,
IN,46321,219922-4070,219934-4009,,,,
IL,60461,708855-728157281,708679-2339,,,,
IN,47978,219866-2051,219866-2050,,,,
WA,98391,253750-6063,253750-6065,,,,
IN,46143,317528-5513,317528-5870,,,,
IN,46143,317528-5129,317528-2229,,,,
Newark,NJ,7105,973465-3044,973465-3032,,,
Honolulu,HI,96814,808944-9144,808944-9444,,,
KY,40601,502226-1665,502696-3472,,,,
ID,83263,208852-4123,208852-3240,,,,
LA,70538,337355-1220,337828-0313,,,,
IA,50441,641456-5026,641456-5021,,,,
IL,62812,618439-31619621,618435-3999,,,,
LA,71295,318412-5237,318412-5487,,,,
Mobile,AL,36603,251432-41177714,251405-0237,,,
KS,66736,620378-6209,620378-6211,,,,
Joplin,MO,64804,417347-4934,417347-9164,,,
SD,57029,605925-2105,605925-2132,,,,
MO,64850,417347-4512,417347-6266,,,,
Fresno,CA,93701,559324-4750,559324-4773,,,
TX,78061,830334-3617126,830334-9804,,,,
NH,3867,603602-5197,603602-5416,,,,
WI,53005,262532-3083,262532-8697,,,,
WI,53154,262532-3081,262532-9517,,,,
WI,54221,920320-37003735,920320-3710,,,,
WI,53228,414774-7226,414409-7594,,,,
WI,53186,262646-5199,262646-5788,,,,
WI,53051,414774-7226,262251-5207,,,,
WI,53226-3596,414805-4950,414805-4955,,,,
WI,53092,262836-8388,262836-5541,,,,
WI,53151,414777-1900,262798-7312,,,,
,Pleasant Prairie,WI,53158,262656-2508,262577-8764,,
WI,53051,262532-3081,262532-8697,,,,
WI,53095,262532-3081,262532-9517,,,,
Mayaguez,PR,680,787831-5922,787833-5433,,,
Mayaguez,PR,680,787831-5922,787831-5922,,,
,Mayaguez,PR,680,787832-2312,787833-5433,,
Hickory,NC,28602,828315-3390,828315-3203,,,
IN,46304,219921-2040,219395-8280,,,,
VA,22060,571231-3224,571231-6657,,,,
MT,59526,406353-3142,406353-3260,,,,
OH,43567,419330-2651,419330-2652,,,,
PA,17233,717485-3155,717485-6848,,,,
NY,13069-2994,315349-5540,315592-3548,,,,
OK,73120,405749-4200,405749-4218,,,,
IL,60435,815730-3344,815730-3888,,,,
FL,33144,786703-9779,786703-9784,,,,
AL,35903,256492-0337,256492-7656,,,,
Gainesville,TX,76240,940665-17518268,940612-8241,,,
Bayamon,PR,961,787269-2250,787785-2229,,,
OH,44833,419468-0773,419468-0875,,,,
NM,87301-1337,505722-1162,505722-1192,,,,
PA,17557,714354-2424,717354-2440,,,,
UT,84759,435676-1267,435676-1540,,,,
NY,12723,845333-8378,845333-3271,,,,
Middletown,NY,10940,845333-7040,845333-7042,,,
NY,12742,845794-33002225,845794-0141,,,,
Moose Lake,MN,55767,218485-4491,218485-4724,,,
Waterloo,IL,62298,618798-3704,618798-3744,,,
WI,53214,414773-6680,414773-6695,,,,
FL,33781,727522-1061,727528-7916,,,,
IL,62040,618876-2255,618798-3744,,,,
KS,66441,785210-3377,785210-3450,,,,
PA,17815,570387-2126,570387-2267,,,,
PA,17044,814272-5066,814272-6538,,,,
PA,16870,814272-5066,814272-6538,,,,
PA,17740,717242-7688,717242-7689,,,,
PA,17821-5251,570271-6309,570214-9495,,,,
PA,17756,717242-7688,814272-6514,,,,
PA,16866,814272-5066,814272-6538,,,,
PA,18344,570808-6136,570808-5994,,,,
PA,18657,570808-6136,570808-5449,,,,
PA,17901,570271-555554006,570271-5976,,,,
PA,18503,570703-7495,570703-2084,,,,
PA,17866-9696,570644-4341,570644-6179,,,,
PA,17961,484526-1000,484499-1012,,,,
PA,17044,717242-7229,717242-7091,,,,
Mifflintown,PA,17059-9049,717436-0144,717436-2068,,,
PA,18508,570343-4334,570207-5492,,,,
MO,65473-9098,573596-00299582,573329-0872,,,,
Davenport,IA,52803,563421-7625,563421-7659,,,
IL,61282,309281-4140,309281-4149,,,,
OH,43701,740586-6893,740586-6701,,,,
IA,52807,563421-5641,563441-0617,,,,
IA,52722,563421-5641,563441-0617,,,,
Moline,IL,61265,563421-9729,563441-0617,,,
IL,61231,309582-9140,309582-9149,,,,
IA,52742,309281-4148,309281-4149,,,,
AZ,85741,520795-0771,520795-0354,,,,
AZ,85712,520392-7500,301576-7621,,,,
Plano,TX,75093,972820-1480,,,,
Sunnyvale,TX,75182,972686-3901,972386-3985,,,
Muskogee,OK,74401,918683-2000,918686-0554,,,
NY,14456,315787-4555,315787-4403,,,,
Coral springs,FL,33071,754702-7267,754755-1950,,,
IA,51640,712382-15158120,712382-2012,,,,
CA,93930,831385-7130,831386-7378,,,,
MS,39452,601947-9123,601947-9198,,,,
WASHINGTON,DC,20037,202741-3038,202741-3011,,,
Washington,DC,20036,202715-5679,202715-4007,,,
KY,40324,502868-1270,502868-1107,,,,
SC,29440,843527-7446,843520-8118,,,,
GA,30092,770903-0138,770903-0139,,,,
GA,30040,470297-1009,770886-8929,,,,
,Winter Haven,FL,33881,863294-06703243,863298-3513,,
IL,60936-0429,217784-2682,217784-2676,,,,
Princeton,IN,47670,812385-9248,812385-9367,,,
VT,5060,802728-2214,802728-2112,,,,
NM,88061,575538-4129,575538-4876,,,,
KS,66743,620724-5162,620724-8875,,,,
NC,28557,252222-0660,252648-7219,,,,
MN,56334,320634-2273,320634-2005,,,,
MN,55336,320864-7080,320864-7968,,,,
MT,59330,406345-33063330,406345-3334,,,,
CA,95988,530934-1801,530934-1828,,,,
NY,12804,518926-5333,518926-6628,,,,
NY,12801,518926-5333,518926-6628,,,,
LA,71291,318329-8585,318329-8544,,,,
TX,77478,281313-1700,281313-1705,,,,
TX,78251,210395-3550,210921-3873,,,,
San Antonio,TX,78214,210921-3800,210921-3873,,,
MO,65355,660438-51938751,660438-2833,,,,
MO,64776,417646-2231,417646-2338,,,,
MO,64735,660890-7145,660885-8217,,,,
CA,93111,805681-6459,805681-6482,,,,
TX,78629,830672-8499,830672-8479,,,,
Vincennes,IN,47591,812885-3353,812885-3626,,,
CA,95032,408358-84141,408356-2740,,,,
GA,30642,706453-733125119,706453-7324,,,,
NY,10901,866596-8456,845368-5331,,,,
OH,45220-2489,513569-6777,513569-6617,,,,
NY,11795,631376-3624,631669-7351,,,,
IL,60515,630275-5562,630275-5770,,,,
FL,33401,561650-6441,561671-7441,,,,
MA,2356,508427-2665,508427-2855,,,,
FL,33461,561697-3001,561697-3284,,,,
Cincinnati,OH,45211,513569-6777,513389-7026,,,
FL,33410,561697-3001,561697-3284,,,,
OH,45247,513569-6601,513569-6617,,,,
IL,60010,847842-4130,847842-4804,,,,
OR,97838,541667-3520,541667-3519,,,,
KS,67735,785890-6033,785890-6082,,,,
KS,66213,913317-3100,913317-3124,,,,
NE,69343,308282-0401239,308282-6237,,,,
IN,46526,574364-4604,574364-4630,,,,
NY,10304,347831-0195,718616-0999,,,,
NE,69138,308537-4042228,308537-4040,,,,
IL,60402,708216-1065,708783-0769,,,,
IL,60160,708538-4917,708538-5333,,,,
New York,NY,10002-7537,212238-7510,212238-7526,,,
NY,13642,315261-5712,315535-9268,,,,
VI,823,340778-63113290,340772-7375,,,,
TX,79007,806467-57005820,806467-5704,,,,
SD,57702,605355-2232,605355-2446,,,,
FL,33870,863382-2229,863385-2229,,,,
MD,21223,410362-3033,410362-3437,,,,
GA,30331,404606-1000,404489-6577,,,,
GA,39828,229377-04812806,229584-5926,,,,
Atlanta,GA,30303-3801,404616-3770,404489-6577,,,
OK,73018,405779-2195,405779-2364,,,,
WV,26354,304265-04007173,304265-6437,,,,
IL,61520,309649-51402860,309649-5121,,,,
TX,76450,940521-5430,940521-5179,,,,
CA,90015,213746-5800,213746-5802,,,,
NE,68803,308675-5000,308675-5212,,,,
MN,55744,218999-1655,218999-1654,,,,
CO,81506,970241-6014,970242-0497,,,,
Grand Rapids,MI,49503,616588-1200,616328-6995,,,
CO,81650,970625-6442,970625-6443,,,,
Dubuque,IA,52001-6314,563589-4051,563589-4052,,,
PA,18917,215453-4100,215453-4024,,,,
PA,18951,215453-4100,215453-3210,,,,
PA,19446,215453-4463,215453-4024,,,,
PA,18960,215453-4100,215453-3210,,,,
PA,19438,215453-4100,215513-1806,,,,
PA,18914,215453-4100,215453-4024,,,,
OR,97850,541963-8421,541962-2561,,,,
OR,97850,541963-1452,541962-2561,,,,
Birmingham,AL,35235,205655-7896,205655-5637,,,
IN,46530,574237-9203,574237-9311,,,,
WV,26847,304257-10262409,304257-9783,,,,
WI,53813,608723-3246,608723-3243,,,,
NC,27565,919690-3420,919690-0114,,,,
